nodesPerPartition bytesPerNode cliquesPerPartition
39 1 2
9 1 1
55 1 2
17 1 2
7 1 2
40 1 2
19 1 2
8 1 2
17 1 2
33 1 3
6 1 3
4 1 3
11 1 3
35 1 3
18 1 3
15 1 2
15 1 2
8 1 1
45 1 2
16 1 2
8 1 2
13 1 2
15 1 2
24 1 2
8 1 2
9 1 2
45 1 2
7 1 2
18 1 2
15 1 2
20 1 2
23 1 2
7 1 2
3 1 2
11 1 2
9 1 2
3 1 2
3 1 1
36 1 2
31 1 2
11 1 2
34 1 2
5 1 2
25 1 2
10 1 2
12 1 2
12 1 2
4 1 2
40 1 2
6 1 2
14 1 2
36 1 3
48 1 3
34 1 2
43 1 3
15 1 3
12 1 3
43 1 3
18 1 3
4 1 3
13 1 2
18 1 3
24 1 2
31 1 2
4 1 1
58 1 3
85 1 2
6 1 2
31 1 2
8 1 2
6 1 2
18 1 2
5 1 2
3 1 2
24 1 2
11 1 2
8 1 2
8 1 2
18 1 3
14 1 2
121 1 3
16 1 2
7 1 2
7 1 3
26 1 3
13 1 3
5 1 3
7 1 2
34 1 2
9 1 2
31 1 2
13 1 2
18 1 2
25 1 2
45 1 2
10 1 2
7 1 2
25 1 3
6 1 3
24 1 2
26 1 3
9 1 3
13 1 2
11 1 2
8 1 2
21 1 2
13 1 2
5 1 1
20 1 2
63 1 3
26 1 3
20 1 3
33 1 2
10 1 2
8 1 2
11 1 2
7 1 1
44 1 2
18 1 2
25 1 2
5 1 2
13 1 2
11 1 2
13 1 2
16 1 3
5 1 2
18 1 2
17 1 2
68 1 3
3 1 1
15 1 2
7 1 2
5 1 2
22 1 2
40 1 2
10 1 2
25 1 3
23 1 2
11 1 2
4 1 2
12 1 2
13 1 2
88 1 3
24 1 3
9 1 3
13 1 2
11 1 2
5 1 2
13 1 2
3 1 2
31 1 3
3 1 2
25 1 2
3 1 2
4 1 1
24 1 2
19 1 3
7 1 3
14 1 2
15 1 2
6 1 2
35 1 3
27 1 2
11 1 2
46 1 2
14 1 2
4 1 2
7 1 2
8 1 2
48 1 2
59 1 3
27 1 3
5 1 3
31 1 2
19 1 2
7 1 2
6 1 2
19 1 2
6 1 2
14 1 2
5 1 2
3 1 2
19 1 2
17 1 2
13 1 2
15 1 2
9 1 2
20 1 3
8 1 3
38 1 3
20 1 2
10 1 2
19 1 3
7 1 3
80 1 3
25 1 2
5 1 2
21 1 2
3 1 2
6 1 2
30 1 2
4 1 2
25 1 3
12 1 3
3 1 2
6 1 3
23 1 2
6 1 1
22 1 2
19 1 2
8 1 2
4 1 1
12 1 3
11 1 3
28 1 2
11 1 2
61 1 2
36 1 2
21 1 2
11 1 2
3 1 2
4 1 2
5 1 1
32 1 2
11 1 2
7 1 1
16 1 2
5 1 2
34 1 2
6 1 2
26 1 2
8 1 2
10 1 2
11 1 2
15 1 2
8 1 2
12 1 2
19 1 2
6 1 2
4 1 2
4 1 2
6 1 2
21 1 2
34 1 2
7 1 2
19 1 2
28 1 3
14 1 2
16 1 2
7 1 1
12 1 2
22 1 2
3 1 1
14 1 2
4 1 2
31 1 2
12 1 2
10 1 2
33 1 3
7 1 2
3 1 1
39 1 2
80 1 2
17 1 2
6 1 2
15 1 2
12 1 2
5 1 2
10 1 2
10 1 2
13 1 2
51 1 2
27 1 2
5 1 2
16 1 3
6 1 3
17 1 2
9 1 2
26 1 2
16 1 1
92 1 2
9 1 2
22 1 2
8 1 2
3 1 2
7 1 2
13 1 2
9 1 2
5 1 2
8 1 2
16 1 2
17 1 1
78 1 2
50 1 2
13 1 2
14 1 2
6 1 2
12 1 2
17 1 3
70 1 2
18 1 2
4 1 1
10 1 2
14 1 2
7 1 2
11 1 2
63 1 3
10 1 3
20 1 2
21 1 2
5 1 2
8 1 2
21 1 2
5 1 2
8 1 2
29 1 3
25 1 2
13 1 2
40 1 2
26 1 2
12 1 2
5 1 2
16 1 2
9 1 1
30 1 2
31 1 3
33 1 2
10 1 2
13 1 2
20 1 2
21 1 3
13 1 1
30 1 2
21 1 2
3 1 2
13 1 2
44 1 2
23 1 2
13 1 2
24 1 2
4 1 2
11 1 2
10 1 2
6 1 2
4 1 3
5 1 2
34 1 3
5 1 3
10 1 3
4 1 2
5 1 3
20 1 2
14 1 3
5 1 3
26 1 2
9 1 2
5 1 2
23 1 2
11 1 2
5 1 2
5 1 1
95 1 2
103 1 3
16 1 2
5 1 2
21 1 2
25 1 3
13 1 3
18 1 2
7 1 2
7 1 2
9 1 3
26 1 3
5 1 2
14 1 3
25 1 2
5 1 2
24 1 2
8 1 2
9 1 2
10 1 3
31 1 2
15 1 2
27 1 2
4 1 2
12 1 2
38 1 2
6 1 2
8 1 2
5 1 2
15 1 2
10 1 2
23 1 3
7 1 2
7 1 3
92 1 3
9 1 2
9 1 2
14 1 2
14 1 3
11 1 2
13 1 2
23 1 2
34 1 3
18 1 3
6 1 2
21 1 3
31 1 2
17 1 3
27 1 2
18 1 2
22 1 2
5 1 2
4 1 2
31 1 2
15 1 2
32 1 2
23 1 2
7 1 2
14 1 3
13 1 2
22 1 2
11 1 2
6 1 2
7 1 2
11 1 2
7 1 2
9 1 2
11 1 2
37 1 3
16 1 3
22 1 2
8 1 2
17 1 3
10 1 3
4 1 3
21 1 2
6 1 2
15 1 3
27 1 3
19 1 2
18 1 2
4 1 2
9 1 2
37 1 3
21 1 3
16 1 2
18 1 2
23 1 2
16 1 3
5 1 2
4 1 2
4 1 3
7 1 3
26 1 2
32 1 2
5 1 2
4 1 2
12 1 2
35 1 3
9 1 1
36 1 3
11 1 3
13 1 2
6 1 2
23 1 2
22 1 2
4 1 2
25 1 2
10 1 1
26 1 2
10 1 2
33 1 2
15 1 2
64 1 2
21 1 2
7 1 1
103 1 3
9 1 2
18 1 3
7 1 3
11 1 3
29 1 3
6 1 2
3 1 1
88 1 3
16 1 3
3 1 3
68 1 3
33 1 3
13 1 3
4 1 1
29 1 3
4 1 2
17 1 3
5 1 1
14 1 2
14 1 2
12 1 2
9 1 2
8 1 2
24 1 2
14 1 2
6 1 2
13 1 2
8 1 2
10 1 2
10 1 2
15 1 2
52 1 3
9 1 3
12 1 2
19 1 2
15 1 3
5 1 2
5 1 3
14 1 2
14 1 2
13 1 2
5 1 2
6 1 2
19 1 2
11 1 2
16 1 3
48 1 2
47 1 3
28 1 2
8 1 2
14 1 2
14 1 2
43 1 3
14 1 2
10 1 3
4 1 3
6 1 2
42 1 2
65 1 3
8 1 1
31 1 3
11 1 3
6 1 3
5 1 1
19 1 2
4 1 2
35 1 2
15 1 2
5 1 2
18 1 2
10 1 2
12 1 2
16 1 3
73 1 2
13 1 2
46 1 2
11 1 2
6 1 2
5 1 2
5 1 1
11 1 2
5 1 2
44 1 3
16 1 3
16 1 2
71 1 2
17 1 2
12 1 2
6 1 2
6 1 2
12 1 2
11 1 2
16 1 2
14 1 2
9 1 2
8 1 2
10 1 2
6 1 2
26 1 2
20 1 2
62 1 2
9 1 2
9 1 2
10 1 2
18 1 2
6 1 2
33 1 2
13 1 1
56 1 2
5 1 2
6 1 2
41 1 2
9 1 2
5 1 2
4 1 1
17 1 2
3 1 2
18 1 2
17 1 2
34 1 2
13 1 2
12 1 2
13 1 3
4 1 3
30 1 3
50 1 3
17 1 3
6 1 3
13 1 2
43 1 2
13 1 2
22 1 2
41 1 2
23 1 2
21 1 2
36 1 2
13 1 2
4 1 2
8 1 2
11 1 2
5 1 2
10 1 1
51 1 3
13 1 2
19 1 3
6 1 3
31 1 2
23 1 3
17 1 2
18 1 2
10 1 2
6 1 2
8 1 3
27 1 2
32 1 2
5 1 2
31 1 3
28 1 2
11 1 2
4 1 2
15 1 2
28 1 2
7 1 2
9 1 2
5 1 1
23 1 3
21 1 3
8 1 3
14 1 2
11 1 2
46 1 2
48 1 2
10 1 2
9 1 2
9 1 2
11 1 2
32 1 3
18 1 2
10 1 2
5 1 2
11 1 2
27 1 3
11 1 2
15 1 2
7 1 2
15 1 3
6 1 1
44 1 3
9 1 2
12 1 2
10 1 3
4 1 3
19 1 2
83 1 3
16 1 3
4 1 2
27 1 2
10 1 2
19 1 2
11 1 2
4 1 2
36 1 2
10 1 2
7 1 2
18 1 2
14 1 3
8 1 3
12 1 2
19 1 2
6 1 2
15 1 3
18 1 3
5 1 1
22 1 3
16 1 2
45 1 3
20 1 3
5 1 3
13 1 3
7 1 3
34 1 2
11 1 2
22 1 2
13 1 2
3 1 2
6 1 2
26 1 2
19 1 2
24 1 2
17 1 2
4 1 2
13 1 2
9 1 3
4 1 3
13 1 3
11 1 3
16 1 3
11 1 3
39 1 3
8 1 2
5 1 3
12 1 2
13 1 2
6 1 2
8 1 2
7 1 2
17 1 3
27 1 3
36 1 2
23 1 2
5 1 1
15 1 3
5 1 2
5 1 3
48 1 3
13 1 2
7 1 2
12 1 3
19 1 2
15 1 2
12 1 2
3 1 2
5 1 2
11 1 2
4 1 1
58 1 3
16 1 3
4 1 2
18 1 2
14 1 3
41 1 2
26 1 2
13 1 2
13 1 3
24 1 2
18 1 2
11 1 2
15 1 2
6 1 2
17 1 3
5 1 2
6 1 3
13 1 2
12 1 2
4 1 2
4 1 2
6 1 2
6 1 2
6 1 2
5 1 2
8 1 2
16 1 2
9 1 2
5 1 1
15 1 2
6 1 2
5 1 2
23 1 2
21 1 3
15 1 2
5 1 2
9 1 2
21 1 2
16 1 2
3 1 2
8 1 2
3 1 2
7 1 2
15 1 2
4 1 2
7 1 2
20 1 2
8 1 2
15 1 2
7 1 1
16 1 3
48 1 3
13 1 3
18 1 3
20 1 2
8 1 2
9 1 2
7 1 3
31 1 3
30 1 2
7 1 2
9 1 2
40 1 3
17 1 2
16 1 2
6 1 2
24 1 2
12 1 2
19 1 2
13 1 3
7 1 3
23 1 2
6 1 2
22 1 2
64 1 3
61 1 3
33 1 3
25 1 2
8 1 2
4 1 2
7 1 2
10 1 3
5 1 2
12 1 2
67 1 2
16 1 2
12 1 2
10 1 2
17 1 2
16 1 3
26 1 2
10 1 2
6 1 2
25 1 2
9 1 2
6 1 2
37 1 3
23 1 3
4 1 2
15 1 2
23 1 3
9 1 2
5 1 2
5 1 2
18 1 3
18 1 3
28 1 2
4 1 2
5 1 2
11 1 2
3 1 2
5 1 1
21 1 2
12 1 2
15 1 2
30 1 2
7 1 2
4 1 2
23 1 2
10 1 2
24 1 3
12 1 3
39 1 2
4 1 2
6 1 2
9 1 2
26 1 3
11 1 1
15 1 2
3 1 1
42 1 3
6 1 2
9 1 2
7 1 1
17 1 1
78 1 2
8 1 2
7 1 2
6 1 2
17 1 2
9 1 2
7 1 2
17 1 3
4 1 1
51 1 2
3 1 2
6 1 2
33 1 3
30 1 3
28 1 2
4 1 2
7 1 2
5 1 2
10 1 2
3 1 2
7 1 2
8 1 3
7 1 1
50 1 3
13 1 2
5 1 2
6 1 2
8 1 2
9 1 3
3 1 1
21 1 2
6 1 2
29 1 2
4 1 2
22 1 3
5 1 3
12 1 2
22 1 3
12 1 2
14 1 3
4 1 2
4 1 3
5 1 2
37 1 2
36 1 3
8 1 2
19 1 3
12 1 2
5 1 1
46 1 3
24 1 3
14 1 2
19 1 2
4 1 1
47 1 2
18 1 2
25 1 2
8 1 2
5 1 2
8 1 2
52 1 3
7 1 2
5 1 2
46 1 3
15 1 3
8 1 3
14 1 2
8 1 2
17 1 2
7 1 2
7 1 2
14 1 2
4 1 2
11 1 3
8 1 3
8 1 2
29 1 2
8 1 2
28 1 3
22 1 3
4 1 3
11 1 2
14 1 2
9 1 2
9 1 2
17 1 2
8 1 2
8 1 3
18 1 2
6 1 2
4 1 2
41 1 3
19 1 3
6 1 3
27 1 3
28 1 2
8 1 2
11 1 2
14 1 2
10 1 2
6 1 2
21 1 3
9 1 3
16 1 2
21 1 2
10 1 2
21 1 2
24 1 2
16 1 2
14 1 3
22 1 2
15 1 2
9 1 2
10 1 2
18 1 3
10 1 2
11 1 2
13 1 2
9 1 2
12 1 3
22 1 3
11 1 2
10 1 2
25 1 2
35 1 2
20 1 2
9 1 2
6 1 1
39 1 2
12 1 2
12 1 2
20 1 3
5 1 3
9 1 3
14 1 2
5 1 2
12 1 2
13 1 3
6 1 2
33 1 2
4 1 1
19 1 2
24 1 3
30 1 2
6 1 2
47 1 3
15 1 2
12 1 2
4 1 2
11 1 3
6 1 2
6 1 2
13 1 3
11 1 2
9 1 2
20 1 1
101 1 3
12 1 3
19 1 3
17 1 2
5 1 2
5 1 1
12 1 2
13 1 2
17 1 2
4 1 2
23 1 2
9 1 2
12 1 2
5 1 2
8 1 3
10 1 2
14 1 2
58 1 3
27 1 3
12 1 3
7 1 2
18 1 2
6 1 2
13 1 2
10 1 2
3 1 2
12 1 2
9 1 2
8 1 2
3 1 1
16 1 2
16 1 3
33 1 2
6 1 2
5 1 2
3 1 2
6 1 2
6 1 2
55 1 2
15 1 2
22 1 2
6 1 2
5 1 2
13 1 2
5 1 2
7 1 2
16 1 2
11 1 2
50 1 2
16 1 2
8 1 2
3 1 2
4 1 1
11 1 2
6 1 2
8 1 2
10 1 3
4 1 3
15 1 3
10 1 3
11 1 2
12 1 2
14 1 2
23 1 2
6 1 2
7 1 2
5 1 1
13 1 2
3 1 2
26 1 3
6 1 2
26 1 3
16 1 2
9 1 2
8 1 2
8 1 2
11 1 2
10 1 3
8 1 3
6 1 2
3 1 1
11 1 2
7 1 2
11 1 2
21 1 2
10 1 2
12 1 2
6 1 2
4 1 2
17 1 2
20 1 3
23 1 3
19 1 3
4 1 3
11 1 2
5 1 2
10 1 3
6 1 3
23 1 3
17 1 3
6 1 1
36 1 2
12 1 2
19 1 2
10 1 2
6 1 2
3 1 2
13 1 2
33 1 2
21 1 2
13 1 2
5 1 1
103 1 3
24 1 2
15 1 2
12 1 2
3 1 2
10 1 3
13 1 1
61 1 3
4 1 2
4 1 2
10 1 3
10 1 2
6 1 2
6 1 2
21 1 3
26 1 3
33 1 2
6 1 2
30 1 2
7 1 2
25 1 3
37 1 3
4 1 3
22 1 3
25 1 3
13 1 2
9 1 2
28 1 3
6 1 2
11 1 3
11 1 3
34 1 3
49 1 3
36 1 2
37 1 3
4 1 2
9 1 3
11 1 3
12 1 2
16 1 2
4 1 2
5 1 1
26 1 2
12 1 2
19 1 3
30 1 2
19 1 3
4 1 1
87 1 3
15 1 3
13 1 3
6 1 3
6 1 2
3 1 2
9 1 3
20 1 2
5 1 2
12 1 2
5 1 2
5 1 2
3 1 1
13 1 2
9 1 2
13 1 2
9 1 3
22 1 2
10 1 2
16 1 2
19 1 2
5 1 2
15 1 3
6 1 3
21 1 2
7 1 2
22 1 3
17 1 3
80 1 3
4 1 2
7 1 2
16 1 3
13 1 3
7 1 2
10 1 2
9 1 3
15 1 2
6 1 2
8 1 2
9 1 3
40 1 3
15 1 2
6 1 2
6 1 3
3 1 3
25 1 2
5 1 2
49 1 2
53 1 3
23 1 3
7 1 3
10 1 2
7 1 2
21 1 2
35 1 3
7 1 2
13 1 3
49 1 2
4 1 1
12 1 2
14 1 2
18 1 3
4 1 1
5 1 3
10 1 3
21 1 2
13 1 2
12 1 2
16 1 2
25 1 2
13 1 2
15 1 2
6 1 1
58 1 3
46 1 3
45 1 3
13 1 3
23 1 2
21 1 2
18 1 2
5 1 2
10 1 3
3 1 1
15 1 3
4 1 1
27 1 2
12 1 2
80 1 3
5 1 2
13 1 3
8 1 3
8 1 3
23 1 2
17 1 2
8 1 2
7 1 2
6 1 2
5 1 1
17 1 3
18 1 2
6 1 2
35 1 3
35 1 3
21 1 3
11 1 3
9 1 2
14 1 3
16 1 2
6 1 2
16 1 3
19 1 2
18 1 2
28 1 2
3 1 2
6 1 2
12 1 2
11 1 2
12 1 2
8 1 3
14 1 2
10 1 2
45 1 3
5 1 2
5 1 2
10 1 2
7 1 2
11 1 3
8 1 2
32 1 2
5 1 1
18 1 2
11 1 2
32 1 2
16 1 2
18 1 2
6 1 2
7 1 2
8 1 3
28 1 3
18 1 3
3 1 2
6 1 3
25 1 2
12 1 2
8 1 2
42 1 3
6 1 3
11 1 2
21 1 3
27 1 2
11 1 1
24 1 2
8 1 2
11 1 2
15 1 3
11 1 2
16 1 2
36 1 3
11 1 2
14 1 3
6 1 3
4 1 3
16 1 1
29 1 2
10 1 2
11 1 2
3 1 2
7 1 2
33 1 3
7 1 3
42 1 2
3 1 2
5 1 2
17 1 2
5 1 2
4 1 2
10 1 2
28 1 2
6 1 2
27 1 2
12 1 2
21 1 2
4 1 2
28 1 3
23 1 3
10 1 2
3 1 2
8 1 2
14 1 2
23 1 2
22 1 3
5 1 2
7 1 3
31 1 3
19 1 2
6 1 2
12 1 3
19 1 2
15 1 2
7 1 1
25 1 2
5 1 2
27 1 3
23 1 2
30 1 2
11 1 2
9 1 2
21 1 2
9 1 1
115 1 3
11 1 1
31 1 3
13 1 2
5 1 2
12 1 3
7 1 2
4 1 2
25 1 3
8 1 3
46 1 2
22 1 2
10 1 2
5 1 2
5 1 1
9 1 3
13 1 2
32 1 2
5 1 2
3 1 2
12 1 2
14 1 2
9 1 2
23 1 2
5 1 2
7 1 1
17 1 3
19 1 2
10 1 2
18 1 2
16 1 2
9 1 2
21 1 3
5 1 2
12 1 3
6 1 2
3 1 2
6 1 2
4 1 2
3 1 2
6 1 2
16 1 2
8 1 2
20 1 2
7 1 2
6 1 2
12 1 2
9 1 2
10 1 2
12 1 2
6 1 1
15 1 2
6 1 2
4 1 1
25 1 3
4 1 1
10 1 3
18 1 2
4 1 2
6 1 1
21 1 2
6 1 2
8 1 2
15 1 2
12 1 2
12 1 2
5 1 2
9 1 2
5 1 1
15 1 2
10 1 2
6 1 2
20 1 3
22 1 3
18 1 3
30 1 3
19 1 2
21 1 3
6 1 3
17 1 2
31 1 2
34 1 3
48 1 3
3 1 3
25 1 3
25 1 3
7 1 1
41 1 2
20 1 2
29 1 2
5 1 2
5 1 2
3 1 2
4 1 2
7 1 2
14 1 3
19 1 2
7 1 2
14 1 2
6 1 2
11 1 2
10 1 3
6 1 3
15 1 2
10 1 2
13 1 2
7 1 2
7 1 3
12 1 2
10 1 1
37 1 3
18 1 3
24 1 3
11 1 3
17 1 2
18 1 2
7 1 2
7 1 2
9 1 2
4 1 2
9 1 3
31 1 3
4 1 2
15 1 3
9 1 3
12 1 2
8 1 2
9 1 2
20 1 3
6 1 3
23 1 2
17 1 2
13 1 2
8 1 2
29 1 3
4 1 3
14 1 3
7 1 3
10 1 2
6 1 2
3 1 2
7 1 2
10 1 1
14 1 2
8 1 1
24 1 2
16 1 2
8 1 2
11 1 2
25 1 2
20 1 2
5 1 2
9 1 2
15 1 2
13 1 2
11 1 3
15 1 1
57 1 2
4 1 2
19 1 2
17 1 2
26 1 3
9 1 2
8 1 2
31 1 2
9 1 2
13 1 2
4 1 2
5 1 2
37 1 3
9 1 2
4 1 2
11 1 3
24 1 2
18 1 3
3 1 2
5 1 3
32 1 2
5 1 2
8 1 2
6 1 2
6 1 2
12 1 2
11 1 1
21 1 2
21 1 3
3 1 1
13 1 2
3 1 2
4 1 1
14 1 2
9 1 2
13 1 2
9 1 2
11 1 2
21 1 2
23 1 2
6 1 2
16 1 2
11 1 2
10 1 2
20 1 3
7 1 3
5 1 3
12 1 2
24 1 2
4 1 2
9 1 2
10 1 2
12 1 3
41 1 3
18 1 3
16 1 3
31 1 2
5 1 2
8 1 2
5 1 2
31 1 2
9 1 2
27 1 3
5 1 3
17 1 3
6 1 3
10 1 2
4 1 1
39 1 3
24 1 2
12 1 2
3 1 2
10 1 2
11 1 2
10 1 2
4 1 2
27 1 3
15 1 2
6 1 2
5 1 2
12 1 2
19 1 2
45 1 3
24 1 3
6 1 2
4 1 1
22 1 2
9 1 2
17 1 3
18 1 2
25 1 3
14 1 2
7 1 2
15 1 2
6 1 2
32 1 2
3 1 1
16 1 2
4 1 2
8 1 2
5 1 2
5 1 3
16 1 2
47 1 2
15 1 2
8 1 2
31 1 3
41 1 2
9 1 1
15 1 2
11 1 2
9 1 2
9 1 2
21 1 3
17 1 3
8 1 2
7 1 2
7 1 2
8 1 2
16 1 2
4 1 2
12 1 3
17 1 2
20 1 2
20 1 2
11 1 2
14 1 2
5 1 1
24 1 3
9 1 2
8 1 3
26 1 3
12 1 3
24 1 3
4 1 3
6 1 2
16 1 2
9 1 2
7 1 2
6 1 2
19 1 3
4 1 1
7 1 2
8 1 3
5 1 1
21 1 2
31 1 3
9 1 2
11 1 3
6 1 1
51 1 2
8 1 2
4 1 1
13 1 2
13 1 2
27 1 2
13 1 2
14 1 3
5 1 2
4 1 2
7 1 3
6 1 2
8 1 2
6 1 1
14 1 3
6 1 2
6 1 3
18 1 2
19 1 2
11 1 2
9 1 2
3 1 2
25 1 2
4 1 1
10 1 2
11 1 3
3 1 3
8 1 2
16 1 2
12 1 3
29 1 3
10 1 3
10 1 3
5 1 3
8 1 3
5 1 2
13 1 2
22 1 3
18 1 3
7 1 2
5 1 2
3 1 2
26 1 2
12 1 2
29 1 2
29 1 2
5 1 2
5 1 2
11 1 2
9 1 2
9 1 3
6 1 3
14 1 3
44 1 2
28 1 2
3 1 1
9 1 2
4 1 1
16 1 2
5 1 1
22 1 2
4 1 2
8 1 2
34 1 2
20 1 3
38 1 2
39 1 2
17 1 2
5 1 2
9 1 2
14 1 2
13 1 3
3 1 3
23 1 2
24 1 2
5 1 2
31 1 2
14 1 2
9 1 1
19 1 2
21 1 2
8 1 2
7 1 2
7 1 3
13 1 2
5 1 2
17 1 3
31 1 2
5 1 2
8 1 2
5 1 2
22 1 2
6 1 2
23 1 3
13 1 2
8 1 3
4 1 3
9 1 2
21 1 2
11 1 1
20 1 2
20 1 2
12 1 2
12 1 3
12 1 2
9 1 1
21 1 3
38 1 2
15 1 2
11 1 2
11 1 3
20 1 3
4 1 3
10 1 2
8 1 3
9 1 2
11 1 2
15 1 3
12 1 3
7 1 3
4 1 1
15 1 3
3 1 3
8 1 2
17 1 2
7 1 2
13 1 2
4 1 2
3 1 2
9 1 2
12 1 2
14 1 3
7 1 2
4 1 2
3 1 1
6 1 3
15 1 2
39 1 3
6 1 1
12 1 2
12 1 3
22 1 2
10 1 2
6 1 2
12 1 3
20 1 2
5 1 2
25 1 3
9 1 3
9 1 2
17 1 3
7 1 3
18 1 2
9 1 2
12 1 2
34 1 2
5 1 2
14 1 2
11 1 2
7 1 2
4 1 2
7 1 2
10 1 2
9 1 3
28 1 2
25 1 3
3 1 3
27 1 2
19 1 2
4 1 2
13 1 3
19 1 2
13 1 2
10 1 3
16 1 2
13 1 2
6 1 2
17 1 2
30 1 2
27 1 3
9 1 2
8 1 3
9 1 2
8 1 2
18 1 2
4 1 2
13 1 3
11 1 3
5 1 1
8 1 2
8 1 3
18 1 3
6 1 3
15 1 3
10 1 3
35 1 2
29 1 2
3 1 1
16 1 2
17 1 3
12 1 2
5 1 2
14 1 2
10 1 3
4 1 1
31 1 3
7 1 1
32 1 2
38 1 2
16 1 2
12 1 2
13 1 2
4 1 2
5 1 2
17 1 3
12 1 2
7 1 2
3 1 2
3 1 1
18 1 3
10 1 2
20 1 3
36 1 2
7 1 2
7 1 2
9 1 2
12 1 2
8 1 2
9 1 3
12 1 2
13 1 3
8 1 3
12 1 3
17 1 3
8 1 3
4 1 2
11 1 3
7 1 3
7 1 2
5 1 2
3 1 2
8 1 2
4 1 2
4 1 1
10 1 2
16 1 3
15 1 3
20 1 3
5 1 3
4 1 1
56 1 3
5 1 1
31 1 2
10 1 2
12 1 2
10 1 2
8 1 2
6 1 2
14 1 2
5 1 1
51 1 3
37 1 2
21 1 2
5 1 2
5 1 2
3 1 1
25 1 3
6 1 2
3 1 2
7 1 2
6 1 2
11 1 3
28 1 3
9 1 2
5 1 3
8 1 1
19 1 3
15 1 2
5 1 2
9 1 3
20 1 3
6 1 2
94 1 3
4 1 2
35 1 2
3 1 2
4 1 2
22 1 2
4 1 2
5 1 2
23 1 2
15 1 2
11 1 2
6 1 2
5 1 2
5 1 3
5 1 1
24 1 2
12 1 2
5 1 2
11 1 3
5 1 3
9 1 2
12 1 2
10 1 2
15 1 2
24 1 2
13 1 2
6 1 2
14 1 3
8 1 2
9 1 2
8 1 2
9 1 2
4 1 2
7 1 2
4 1 2
19 1 2
3 1 1
8 1 2
15 1 2
7 1 2
12 1 3
4 1 3
6 1 2
5 1 2
12 1 2
21 1 3
6 1 2
6 1 3
5 1 2
19 1 3
9 1 2
8 1 2
7 1 2
11 1 2
10 1 3
13 1 2
12 1 2
19 1 3
9 1 3
5 1 3
21 1 2
3 1 2
10 1 2
16 1 2
23 1 2
6 1 1
11 1 2
17 1 3
11 1 3
10 1 2
14 1 2
3 1 2
14 1 3
8 1 3
9 1 2
7 1 2
17 1 3
9 1 3
9 1 3
6 1 3
12 1 2
8 1 2
4 1 2
13 1 3
20 1 2
11 1 2
11 1 3
18 1 2
9 1 2
6 1 2
9 1 2
29 1 3
7 1 3
3 1 3
10 1 2
24 1 2
7 1 2
6 1 2
19 1 2
26 1 3
12 1 2
3 1 1
6 1 2
7 1 2
12 1 2
30 1 3
31 1 3
6 1 2
7 1 2
8 1 2
34 1 2
9 1 2
5 1 2
7 1 1
12 1 2
19 1 3
4 1 3
11 1 2
4 1 1
7 1 2
5 1 2
3 1 1
33 1 3
4 1 1
9 1 3
29 1 3
21 1 3
13 1 3
22 1 3
21 1 2
8 1 2
11 1 2
12 1 3
9 1 1
40 1 3
4 1 1
8 1 2
5 1 1
16 1 3
8 1 3
6 1 3
5 1 3
12 1 2
5 1 2
4 1 2
8 1 2
22 1 2
5 1 2
4 1 2
7 1 2
21 1 3
5 1 2
15 1 2
56 1 2
9 1 2
19 1 2
6 1 2
12 1 2
8 1 2
9 1 1
20 1 3
10 1 3
7 1 3
8 1 3
12 1 3
4 1 2
6 1 3
4 1 3
11 1 2
11 1 3
22 1 3
14 1 3
8 1 2
3 1 1
22 1 3
8 1 3
3 1 1
12 1 2
10 1 3
20 1 2
7 1 2
9 1 2
16 1 2
27 1 2
8 1 1
28 1 3
12 1 3
22 1 3
15 1 3
12 1 3
8 1 3
9 1 2
6 1 2
9 1 1
40 1 3
5 1 2
9 1 2
5 1 1
7 1 3
23 1 2
3 1 2
10 1 2
14 1 3
6 1 3
20 1 2
11 1 1
32 1 3
8 1 2
6 1 1
24 1 2
4 1 2
4 1 2
10 1 2
5 1 1
12 1 3
16 1 3
25 1 3
17 1 2
9 1 3
5 1 3
8 1 2
10 1 3
35 1 3
10 1 2
18 1 3
13 1 2
22 1 2
5 1 2
11 1 2
5 1 2
3 1 2
7 1 3
11 1 2
15 1 3
12 1 1
29 1 3
10 1 3
7 1 2
4 1 2
9 1 3
10 1 2
15 1 2
6 1 2
6 1 2
5 1 1
44 1 3
25 1 3
8 1 3
6 1 2
3 1 2
15 1 3
14 1 2
7 1 2
4 1 2
8 1 2
5 1 3
3 1 3
10 1 2
5 1 2
13 1 3
7 1 3
19 1 2
5 1 1
22 1 2
6 1 2
11 1 2
9 1 2
13 1 3
21 1 2
14 1 2
11 1 2
5 1 2
4 1 2
10 1 3
8 1 2
6 1 1
26 1 2
13 1 2
4 1 2
10 1 2
7 1 2
8 1 2
8 1 2
9 1 3
4 1 3
5 1 3
8 1 2
6 1 2
5 1 2
6 1 2
3 1 2
13 1 2
11 1 3
23 1 2
12 1 2
21 1 3
3 1 1
6 1 2
5 1 2
3 1 2
12 1 2
14 1 2
6 1 2
5 1 2
14 1 2
9 1 3
12 1 3
10 1 2
10 1 2
6 1 2
8 1 1
18 1 2
18 1 2
9 1 2
8 1 3
14 1 2
10 1 3
3 1 3
12 1 2
28 1 2
25 1 3
5 1 1
23 1 2
20 1 3
24 1 2
12 1 2
8 1 2
11 1 3
4 1 2
5 1 1
15 1 3
9 1 3
14 1 3
29 1 2
13 1 2
8 1 1
26 1 2
