nodesPerPartition bytesPerNode cliquesPerPartition
24 2 10
19 2 10
5 0 1
20 1 8
13 1 5
29 3 17
6 1 3
24 2 9
3 1 2
8 1 4
5 1 2
14 1 8
16 2 9
9 1 5
13 1 6
33 2 13
19 1 6
25 3 20
20 2 12
34 2 16
10 1 5
16 1 4
5 1 3
18 2 9
22 2 12
25 2 13
23 1 7
33 2 16
28 2 14
9 1 4
21 2 14
28 3 19
5 1 3
23 1 6
6 1 4
17 2 9
20 2 12
13 1 8
3 1 2
24 2 16
27 1 5
18 2 11
14 2 10
30 2 14
26 2 12
14 1 7
7 1 4
7 1 2
18 1 8
13 2 10
11 1 6
2 0 1
3 0 1
15 1 5
3 0 1
17 2 11
35 3 20
8 1 4
36 2 14
27 2 15
22 2 15
13 1 4
11 1 8
7 1 4
23 1 8
22 2 16
20 2 10
3 1 2
3 0 1
10 1 6
27 1 8
25 2 14
25 2 15
35 2 15
3 0 1
12 1 5
8 1 5
13 1 6
27 2 16
13 1 5
16 2 9
14 1 5
14 1 5
2 0 1
14 1 6
2 0 1
6 1 3
13 2 12
16 1 7
23 2 11
9 1 5
2 0 1
2 0 1
23 2 11
4 1 2
34 3 18
9 1 5
24 2 12
25 2 15
3 0 1
6 1 2
30 2 11
38 2 13
29 2 11
4 0 1
7 1 2
20 1 8
5 0 1
16 1 8
28 2 15
4 1 2
7 1 3
14 2 12
26 2 12
7 1 2
23 2 11
5 1 2
37 3 22
35 3 18
25 1 5
40 2 14
12 1 7
33 2 9
36 2 12
5 0 1
8 0 1
36 3 20
11 1 5
3 0 1
23 2 16
24 2 16
4 1 3
12 1 7
10 1 5
22 2 15
26 2 13
24 2 11
19 2 12
26 2 14
4 0 1
29 3 18
22 2 13
27 2 14
10 1 5
5 1 2
25 3 19
21 2 13
32 3 19
29 3 21
16 2 9
8 1 3
12 1 3
15 1 7
19 2 11
10 1 7
17 1 8
25 2 11
8 1 4
3 1 2
9 1 7
28 2 10
14 1 4
14 1 7
25 2 14
40 4 25
5 1 2
26 2 11
9 1 5
6 1 3
3 0 1
13 1 7
11 1 6
4 0 1
16 1 8
7 1 4
14 2 10
3 1 2
21 1 5
28 3 17
19 2 13
25 2 14
8 1 4
8 1 3
2 0 1
26 2 9
4 1 2
14 1 8
18 2 13
15 1 8
20 2 14
16 2 10
11 1 3
17 1 7
20 2 11
20 2 11
28 2 12
9 1 4
33 2 10
9 1 5
15 1 6
7 1 2
19 1 4
10 1 3
30 2 16
13 1 3
9 1 3
6 1 2
2 0 1
3 0 1
4 1 2
26 2 11
9 1 4
19 2 9
35 2 15
4 0 1
17 2 11
8 1 3
10 1 4
5 1 3
33 2 10
27 1 8
38 2 16
20 2 9
10 1 5
10 1 4
12 1 5
18 1 6
15 1 5
27 2 16
9 1 4
8 1 4
18 1 8
9 1 4
9 1 6
11 1 6
35 2 16
23 2 14
18 2 11
22 2 10
24 1 5
9 1 3
34 3 19
3 0 1
25 2 14
4 0 1
14 1 5
8 1 2
14 1 8
16 1 6
34 3 19
20 2 11
27 2 9
9 1 4
5 1 2
15 1 6
20 2 14
4 1 2
23 2 15
8 1 2
7 0 1
10 0 1
12 2 9
9 1 6
17 2 12
12 1 3
5 1 4
30 3 19
23 2 16
18 2 11
11 1 5
17 1 8
14 1 7
21 1 8
4 1 2
33 3 20
11 1 6
17 2 11
24 2 12
21 2 15
17 1 8
4 1 2
16 1 8
26 2 15
18 1 8
25 2 14
8 1 4
5 0 1
12 1 6
15 1 8
24 2 15
11 1 5
22 2 16
5 1 3
8 1 3
13 1 4
23 1 7
42 3 19
22 2 13
18 2 16
21 2 10
12 1 7
19 2 13
17 2 9
3 0 1
25 2 13
29 2 11
31 3 23
8 1 2
3 0 1
14 1 6
11 1 5
19 1 7
10 1 4
8 1 3
14 2 10
23 3 18
3 0 1
6 1 2
3 0 1
10 1 7
14 1 5
22 2 13
9 1 3
40 3 20
28 2 14
19 2 12
27 2 10
26 1 7
2 0 1
5 1 2
12 1 7
14 1 6
11 1 4
35 2 13
3 0 1
34 2 15
18 1 8
6 0 1
18 2 9
29 2 16
18 2 11
34 3 23
3 0 1
28 3 21
13 1 6
10 1 4
25 2 15
11 1 4
37 2 10
20 2 9
17 1 7
19 2 10
8 1 5
21 2 12
17 1 3
3 0 1
29 2 13
21 1 6
9 1 4
15 1 8
15 2 9
16 1 5
35 3 19
12 1 7
4 1 2
7 1 4
19 1 8
5 0 1
22 1 6
11 1 2
15 1 4
11 1 4
32 3 21
27 2 16
25 3 18
5 0 1
13 1 6
14 1 8
16 1 8
16 1 7
15 1 6
15 2 10
14 0 1
6 0 1
33 3 19
16 1 5
25 2 9
16 1 5
12 1 4
5 0 1
16 1 4
32 3 23
9 1 3
25 2 15
5 0 1
19 1 7
28 3 20
31 3 20
23 2 9
9 1 2
3 0 1
21 1 7
2 0 1
33 3 17
23 2 15
40 2 11
25 2 12
11 1 4
21 2 10
3 0 1
30 2 13
5 0 1
15 2 9
8 1 6
4 1 2
12 1 8
20 2 15
7 1 4
23 3 18
29 2 15
5 1 2
32 2 11
27 3 18
32 1 7
3 0 1
2 0 1
18 2 11
17 2 9
27 3 18
5 1 2
6 1 4
31 3 18
21 2 11
15 2 13
7 1 4
16 1 8
27 2 16
40 3 23
20 2 15
9 1 5
20 2 11
20 2 9
12 1 7
12 1 7
5 1 3
22 2 11
3 0 1
9 1 6
20 1 8
3 0 1
28 2 12
13 2 10
31 2 12
14 1 8
6 1 5
24 2 13
25 2 14
14 1 8
4 0 1
25 2 9
35 4 25
15 2 9
30 3 23
6 1 2
4 1 2
30 1 7
12 1 4
4 0 1
14 1 5
4 1 3
21 1 7
14 1 7
26 2 12
21 1 8
10 1 4
5 1 2
4 1 2
26 2 12
6 1 4
8 1 3
7 0 1
16 2 11
19 1 6
34 3 18
28 2 14
16 1 8
5 1 2
35 2 12
5 1 2
13 2 9
21 2 12
17 2 10
21 2 11
7 0 1
10 0 1
12 1 3
8 1 2
25 1 8
8 1 5
10 1 5
2 0 1
19 2 10
19 1 8
4 1 2
7 1 2
33 3 24
10 1 5
21 2 13
10 1 7
6 1 2
3 0 1
3 0 1
2 0 1
19 2 11
6 1 3
32 2 16
33 2 15
9 1 5
23 2 14
3 0 1
4 1 2
25 1 8
16 1 7
19 2 13
2 0 1
13 1 6
16 1 8
11 1 5
20 1 8
19 1 7
7 1 3
26 3 17
15 1 3
34 3 18
29 2 16
7 1 3
22 1 5
14 1 6
17 2 9
24 2 10
17 2 9
16 2 10
28 1 7
25 2 12
12 1 5
18 1 7
32 3 22
32 2 15
20 2 12
15 1 6
21 2 10
19 2 9
2 0 1
25 2 15
5 0 1
18 2 10
30 3 20
31 3 18
4 0 1
33 2 13
4 0 1
18 2 13
30 2 13
7 1 3
26 2 15
7 1 3
6 1 2
35 2 13
8 1 5
5 1 2
5 1 3
2 0 1
23 2 12
19 2 12
4 1 3
24 2 16
20 2 16
31 3 19
31 3 17
13 2 10
23 2 9
8 1 4
14 1 6
27 2 13
11 1 6
15 2 10
14 1 7
19 2 13
3 0 1
36 1 5
27 2 11
7 1 2
5 1 2
10 1 5
16 2 11
15 1 8
29 3 17
3 1 2
16 2 10
3 0 1
10 1 4
19 2 14
19 2 12
11 1 4
9 1 4
17 2 10
16 2 10
4 1 2
14 1 6
4 1 2
8 1 3
16 1 4
18 2 10
45 2 13
13 1 8
21 2 10
13 1 5
5 1 2
25 1 6
8 1 4
27 3 20
34 1 6
2 0 1
7 1 5
28 3 19
16 1 7
15 1 4
24 2 15
2 0 1
11 1 8
20 2 15
4 1 3
11 1 2
22 2 14
22 2 10
18 1 6
24 2 14
19 1 7
33 4 26
37 2 15
15 1 8
17 2 9
10 1 2
15 2 9
4 1 2
15 1 7
17 1 6
28 2 10
13 1 7
16 1 6
18 2 11
21 2 13
14 1 8
3 0 1
18 2 10
14 2 10
17 1 8
15 2 11
25 2 14
3 0 1
14 1 6
13 1 5
12 1 6
20 2 14
27 2 10
30 3 18
3 0 1
15 2 9
28 3 20
24 2 13
14 1 3
17 2 10
3 0 1
4 0 1
16 1 7
28 1 7
30 2 12
20 1 8
10 1 5
6 1 3
16 2 11
34 2 15
11 1 5
3 0 1
3 0 1
12 1 7
16 1 7
9 1 6
12 1 6
4 1 2
28 2 11
28 3 19
6 1 2
8 1 4
18 2 10
3 0 1
20 2 9
2 0 1
16 1 6
13 2 9
4 1 2
3 1 2
31 3 20
31 3 20
7 1 3
19 1 7
28 3 18
2 0 1
39 3 21
5 0 1
23 2 12
8 1 4
16 1 6
27 3 18
11 1 5
12 1 6
7 1 2
42 2 12
13 1 6
9 1 2
26 3 18
3 0 1
12 1 7
27 3 19
10 1 5
12 1 5
15 1 7
19 1 6
16 1 7
26 3 17
18 2 10
2 0 1
3 0 1
6 0 1
2 0 1
9 1 2
8 1 3
6 0 1
19 1 5
8 1 5
30 3 17
4 1 2
15 1 5
8 1 7
7 1 4
3 0 1
16 2 11
14 1 6
12 1 6
21 2 14
17 1 6
16 2 9
6 1 4
25 2 9
4 1 2
32 3 19
20 2 11
21 1 6
13 1 6
10 1 5
10 1 7
3 1 2
7 1 2
20 3 17
15 1 3
21 2 12
7 1 4
18 2 11
21 1 8
21 2 12
15 2 10
28 1 8
22 2 14
15 1 7
11 1 5
22 2 12
16 1 7
16 1 7
13 2 9
19 2 10
10 1 4
31 2 14
11 1 6
12 1 7
10 1 3
13 1 8
7 1 4
3 0 1
19 1 7
7 1 4
11 1 7
9 1 4
20 2 14
4 1 2
25 2 12
12 1 4
13 1 5
13 1 8
11 1 4
11 1 4
26 2 11
5 1 2
10 1 5
33 2 14
3 0 1
26 3 17
22 2 13
22 2 9
8 1 2
28 2 16
4 0 1
29 3 19
9 1 3
18 2 11
7 1 2
25 2 14
17 2 10
23 2 11
8 1 3
20 2 13
18 2 9
14 1 6
32 3 19
27 2 11
28 3 18
23 2 9
3 0 1
8 1 3
15 1 5
32 3 17
9 1 3
21 2 11
26 3 18
6 1 2
11 1 4
7 1 2
12 1 7
6 1 3
19 2 9
4 1 2
5 0 1
31 3 18
9 1 5
19 1 5
8 1 4
6 1 3
28 2 16
21 2 13
18 2 13
22 2 15
6 1 3
20 1 8
5 1 2
2 0 1
2 0 1
6 1 4
19 2 12
6 1 3
3 0 1
9 1 4
28 2 11
13 1 4
20 1 8
7 1 2
11 1 8
8 0 1
17 2 9
26 2 10
28 3 17
11 1 6
27 2 13
12 1 6
5 1 2
24 2 13
21 2 12
34 3 18
12 1 4
21 1 8
15 2 10
4 0 1
34 3 20
27 2 14
5 0 1
7 1 3
29 3 17
29 2 15
29 3 20
8 1 3
21 2 12
5 0 1
14 1 7
9 1 4
4 1 2
6 1 2
9 1 4
6 1 3
4 0 1
24 2 15
23 2 14
3 0 1
13 1 4
13 1 3
11 1 5
14 1 8
17 2 9
8 1 5
22 2 12
4 0 1
37 3 23
4 0 1
23 2 14
12 1 5
22 3 17
17 2 13
13 1 8
10 1 4
2 0 1
24 2 13
13 1 7
21 1 8
11 1 6
9 1 5
18 2 12
30 2 16
2 0 1
20 2 10
19 1 7
13 1 8
10 1 3
29 2 15
7 1 4
13 1 5
20 2 15
5 1 3
5 1 2
5 1 2
23 2 12
2 0 1
7 1 3
17 1 8
16 1 6
23 2 11
18 2 12
10 1 5
12 1 5
15 1 6
5 1 2
12 1 7
11 1 7
23 2 13
15 1 7
27 2 14
12 1 7
10 1 4
11 1 4
24 2 13
2 0 1
17 2 10
29 2 13
6 1 3
9 1 6
6 1 3
28 2 11
24 2 15
19 1 5
13 1 4
8 1 3
15 2 9
25 2 9
26 2 11
18 1 7
5 0 1
14 1 6
19 2 11
32 3 17
24 2 13
23 2 12
12 1 6
21 1 7
22 1 6
2 0 1
26 2 16
14 2 11
25 3 18
14 2 9
25 2 12
29 2 9
15 2 10
19 2 10
24 3 19
4 1 2
16 1 7
3 0 1
14 1 4
15 1 7
12 1 7
8 1 3
27 2 14
3 1 2
19 1 8
33 2 10
9 1 5
8 1 2
3 0 1
13 2 9
32 2 14
3 0 1
3 1 2
14 1 5
8 1 3
15 1 6
6 1 3
9 1 2
32 3 19
12 1 8
13 2 10
5 1 2
6 1 2
11 1 5
2 0 1
3 0 1
4 1 3
2 0 1
24 2 16
24 3 17
15 2 9
15 2 9
27 2 12
16 1 7
4 1 2
9 1 5
26 3 19
18 1 6
17 1 8
9 1 3
22 2 15
18 1 7
2 0 1
33 2 11
4 1 3
9 1 4
11 1 6
8 1 4
16 2 12
18 2 10
19 2 14
14 1 6
12 1 6
8 1 4
10 1 3
12 1 4
23 2 10
16 1 8
37 3 18
8 1 3
18 2 10
24 2 16
25 2 14
5 0 1
14 1 6
3 1 2
4 1 2
32 3 22
14 1 6
15 1 5
18 2 13
27 2 16
21 2 9
35 3 18
5 1 2
6 1 2
10 1 5
39 1 5
4 1 3
23 2 14
24 2 13
3 0 1
8 1 4
8 1 6
31 2 14
20 2 10
11 2 9
19 2 10
15 2 9
20 1 6
9 0 1
10 1 6
4 0 1
9 1 5
13 1 8
17 2 10
12 1 6
6 1 4
26 2 16
26 3 17
22 2 13
22 1 8
20 2 12
34 2 14
2 0 1
18 1 7
19 2 10
22 2 13
21 2 9
11 1 7
24 3 17
4 1 2
28 2 9
19 1 5
4 0 1
8 1 4
5 1 2
3 1 2
3 1 2
21 2 15
9 1 4
16 1 7
5 1 3
9 1 5
3 1 2
23 2 11
17 1 8
9 1 5
5 1 2
40 3 18
19 2 9
8 1 4
8 0 1
20 2 11
14 2 10
10 1 7
13 2 11
4 0 1
2 0 1
4 1 2
24 3 18
11 1 5
25 2 14
3 0 1
40 1 5
9 1 3
3 0 1
5 0 1
16 2 9
12 1 5
3 0 1
3 0 1
16 2 11
18 1 8
7 1 3
11 1 5
31 3 18
3 1 2
15 1 4
13 1 5
15 2 10
8 1 3
3 1 2
5 0 1
19 1 8
13 1 4
7 1 4
5 0 1
23 1 7
9 1 3
22 2 14
5 0 1
4 1 2
6 1 3
19 2 14
12 1 5
19 2 12
3 0 1
6 1 4
22 1 6
17 2 13
29 2 14
29 3 20
21 2 10
13 1 5
3 0 1
17 0 1
25 2 14
3 0 1
25 2 9
29 3 17
20 2 12
8 1 4
10 1 5
10 1 2
25 2 14
6 1 2
4 1 2
6 1 2
24 2 14
16 2 11
11 1 4
24 1 8
6 0 1
24 2 13
4 0 1
10 1 5
20 2 16
14 1 2
10 1 4
30 3 17
28 2 16
4 1 2
16 1 2
3 0 1
23 2 9
9 0 1
17 2 9
27 3 21
38 2 14
12 1 4
7 0 1
31 3 17
28 2 14
20 2 11
5 1 3
36 3 23
28 2 15
14 1 8
22 2 11
27 2 11
7 1 2
3 0 1
8 1 4
16 1 7
18 1 7
27 2 16
7 1 3
22 2 11
21 1 8
27 2 11
3 0 1
9 1 6
21 2 12
28 3 18
3 0 1
6 1 3
35 2 16
15 2 9
15 1 7
6 1 3
8 1 2
10 1 6
16 2 9
21 2 9
3 0 1
15 1 8
3 0 1
5 1 2
26 2 15
11 1 5
24 1 7
23 1 8
12 2 9
24 2 15
10 1 4
18 2 10
10 1 5
18 2 11
4 1 3
2 0 1
27 2 14
5 0 1
10 1 5
13 1 4
16 1 4
8 1 4
17 2 11
5 1 2
18 2 10
16 1 7
3 1 2
36 3 19
10 1 6
6 1 3
22 1 7
7 1 4
14 2 10
8 1 4
28 2 16
19 2 11
7 1 2
5 0 1
8 1 4
22 2 11
8 1 4
5 0 1
17 2 10
17 1 8
7 1 3
27 3 20
32 2 16
11 1 5
13 1 7
3 0 1
4 1 2
6 1 4
9 1 6
11 1 4
24 2 16
9 1 5
12 1 7
16 2 9
6 1 3
39 3 17
4 1 2
5 0 1
2 0 1
4 1 2
7 1 4
14 1 4
23 2 15
15 1 5
20 1 8
30 2 13
25 2 11
10 1 6
15 2 10
17 2 9
4 1 3
2 0 1
2 0 1
3 0 1
12 1 6
19 2 10
19 1 5
29 2 15
5 1 2
4 0 1
18 2 10
14 1 6
3 0 1
9 1 4
26 2 15
6 1 2
5 1 2
15 2 10
9 0 1
11 1 6
9 1 5
18 1 8
22 2 14
16 1 6
4 0 1
22 2 11
11 1 5
8 1 4
19 1 6
17 2 13
26 2 15
31 3 17
12 1 7
23 1 8
3 0 1
8 0 1
12 1 6
12 2 9
8 1 3
4 0 1
17 1 8
11 1 4
27 2 15
24 2 14
24 3 17
22 2 11
14 1 5
16 2 10
8 1 2
8 1 4
9 1 4
6 1 2
3 0 1
18 1 8
20 2 14
12 1 4
18 2 13
21 2 13
32 2 15
26 2 16
13 1 7
20 2 12
7 1 3
25 2 13
12 1 7
20 2 12
5 1 2
7 1 2
39 2 16
26 2 13
29 3 18
5 1 2
5 1 3
2 0 1
11 1 3
9 1 5
21 2 14
9 1 5
21 2 12
7 1 2
12 1 5
19 2 10
5 1 2
35 3 17
13 1 7
16 2 11
2 0 1
24 2 10
13 2 9
18 2 14
12 1 6
12 1 6
27 2 12
7 1 3
22 2 11
19 2 14
15 1 8
26 3 18
32 3 21
12 1 7
4 0 1
4 0 1
8 1 4
8 1 4
11 1 7
19 1 8
8 1 3
16 2 11
31 3 19
6 1 4
5 1 3
2 0 1
7 1 3
6 1 2
15 1 8
5 1 3
14 1 3
12 1 6
14 1 6
8 1 3
25 2 16
11 1 7
9 1 5
8 1 3
7 1 3
6 1 4
4 1 2
10 1 5
5 1 2
5 1 2
8 1 5
26 3 17
5 1 2
3 0 1
20 2 16
22 2 12
16 1 8
25 2 10
18 2 10
19 2 10
13 1 4
13 2 10
24 2 14
23 1 4
8 1 5
7 1 2
8 1 6
11 1 6
13 1 7
4 1 2
6 1 4
5 0 1
19 2 10
20 2 9
4 1 3
28 2 16
15 1 6
19 2 12
12 1 6
8 1 3
15 1 6
30 3 17
7 1 2
2 0 1
6 1 2
2 0 1
9 1 6
32 2 12
2 0 1
31 0 1
34 3 21
20 2 11
10 1 3
6 1 2
35 2 13
11 1 4
27 2 14
32 3 18
15 1 8
7 1 4
10 1 4
19 2 11
30 2 16
11 1 5
17 1 7
14 2 11
5 0 1
5 0 1
12 1 8
15 2 9
18 1 8
20 1 8
25 2 16
10 1 6
9 1 5
33 2 15
15 1 8
11 1 4
4 1 3
22 1 7
10 1 6
13 1 6
16 1 8
12 1 6
6 1 3
3 0 1
15 1 6
21 2 13
3 0 1
5 1 3
34 2 15
28 2 15
11 1 4
18 1 8
14 1 7
3 0 1
5 1 2
30 3 20
26 2 12
2 0 1
17 1 5
11 1 6
10 1 6
37 2 14
34 2 16
3 0 1
29 2 11
11 1 5
3 0 1
6 1 2
25 2 15
9 1 4
5 0 1
11 1 2
30 2 14
2 0 1
10 1 4
32 3 17
19 1 6
12 1 4
4 0 1
18 2 9
7 1 2
27 2 10
15 1 4
3 1 2
12 1 6
16 2 10
24 2 16
11 1 4
11 1 2
21 2 12
19 2 12
25 2 15
8 1 5
22 2 11
13 1 8
32 2 14
18 2 10
2 0 1
23 2 12
12 1 7
27 2 15
6 1 3
17 2 9
13 1 7
31 2 9
11 1 7
23 2 14
8 1 3
17 1 5
11 1 5
6 1 3
30 3 20
15 1 6
8 1 6
20 2 13
26 2 13
20 1 7
22 2 12
20 1 8
17 2 13
18 2 11
11 1 6
13 1 6
20 1 6
21 2 11
21 2 11
18 2 10
5 1 2
33 2 15
23 2 10
8 1 2
31 2 16
9 1 4
19 2 10
22 2 15
8 1 3
4 0 1
13 1 5
6 1 3
16 1 6
10 1 4
14 1 4
4 0 1
4 1 2
5 1 2
21 1 8
14 1 8
4 1 2
12 1 6
4 0 1
27 2 11
15 1 5
14 1 7
7 1 2
8 1 6
2 0 1
21 2 12
11 1 8
30 3 17
33 3 23
17 2 10
25 2 16
8 1 5
17 1 8
19 2 9
7 1 3
18 2 10
18 2 10
5 1 2
9 1 6
5 1 2
18 1 8
4 0 1
13 1 7
23 2 15
24 2 11
19 1 6
22 1 5
8 1 3
30 3 19
12 1 6
21 2 12
17 1 5
6 1 3
21 2 12
15 1 6
16 2 11
10 1 5
15 2 9
10 1 2
8 1 4
2 0 1
30 2 16
22 2 15
18 2 12
16 2 10
17 1 8
2 0 1
14 1 7
9 1 5
9 1 7
20 1 7
4 0 1
5 1 3
14 1 7
15 2 9
10 1 3
20 2 16
12 1 8
2 0 1
14 1 6
8 1 4
6 1 4
26 3 20
10 1 5
18 2 9
13 1 6
25 2 12
4 1 2
33 2 12
28 3 17
20 2 11
14 1 7
10 1 5
20 1 5
18 1 8
22 2 14
21 2 10
6 1 2
4 0 1
36 1 5
7 0 1
14 2 10
15 1 7
6 1 2
18 2 9
5 1 3
12 1 5
12 1 6
38 2 14
18 2 10
12 1 5
7 0 1
9 1 4
12 1 6
6 1 3
15 1 7
9 1 3
2 0 1
26 3 17
18 2 9
18 2 11
30 2 14
13 1 7
9 1 5
30 3 17
8 1 4
11 1 7
19 1 6
5 1 3
23 2 10
6 0 1
10 1 2
15 1 6
20 2 9
4 0 1
13 1 4
20 2 13
6 1 4
15 2 12
24 3 17
9 1 5
11 1 5
16 1 8
30 2 10
23 2 16
12 1 3
6 1 3
8 1 3
8 1 3
16 2 12
20 1 7
8 1 4
24 2 13
12 1 8
8 1 3
8 1 5
15 2 10
23 2 12
5 0 1
18 2 11
27 2 10
8 1 5
17 1 8
25 2 16
11 1 4
4 1 2
3 0 1
21 2 15
10 1 3
17 1 8
14 2 10
15 2 9
28 2 14
12 1 4
8 1 3
7 1 3
5 1 2
19 2 14
15 1 8
3 0 1
18 1 6
15 2 11
10 1 4
4 0 1
3 0 1
14 1 8
3 0 1
26 2 11
18 2 10
21 1 8
20 2 14
3 0 1
15 2 9
21 2 10
16 2 10
11 1 5
26 2 14
19 2 11
2 0 1
16 2 9
17 1 8
16 2 10
25 3 17
16 1 8
9 1 3
3 0 1
11 1 6
21 2 11
10 1 7
2 0 1
24 3 18
24 2 10
23 2 15
20 2 9
18 2 9
3 0 1
15 2 10
19 2 11
4 0 1
7 1 2
15 1 5
17 2 10
15 1 8
8 1 4
8 1 5
9 1 5
6 1 2
3 0 1
8 1 3
16 2 9
7 0 1
18 2 11
24 2 15
17 1 7
4 0 1
16 1 6
6 1 2
10 1 7
13 1 7
20 2 10
7 1 3
10 1 5
2 0 1
10 1 4
22 2 14
28 2 16
16 2 13
7 1 2
30 2 10
7 1 3
14 1 7
5 1 2
12 1 6
23 2 14
9 1 3
5 1 2
31 2 15
14 1 8
6 1 2
25 3 19
25 2 13
16 2 10
18 1 8
3 0 1
17 2 12
20 2 12
27 3 18
2 0 1
23 2 9
32 2 15
14 1 6
21 2 10
12 1 7
16 2 9
2 0 1
19 2 12
8 1 4
7 1 4
5 1 4
7 1 3
13 1 7
2 0 1
15 2 9
23 2 14
7 1 5
12 1 4
5 1 3
19 2 14
34 3 18
23 2 11
3 0 1
5 1 2
41 2 14
4 1 2
28 2 16
27 2 12
5 1 3
3 0 1
12 1 6
3 0 1
5 1 3
20 2 9
31 1 7
5 1 2
9 1 5
4 1 2
3 1 2
30 4 26
20 1 8
17 2 10
8 1 5
8 1 2
20 2 11
14 1 5
30 2 15
25 2 10
5 0 1
17 2 12
20 2 11
18 1 6
10 1 2
22 2 14
4 0 1
14 1 3
28 2 13
24 2 14
13 1 7
9 1 3
21 1 8
32 2 14
25 2 11
4 1 2
8 1 3
27 2 15
33 2 14
2 0 1
9 1 3
19 2 10
5 1 2
24 2 11
12 1 6
3 0 1
24 1 8
22 2 13
16 1 5
2 0 1
26 2 14
19 2 10
23 2 15
21 2 10
11 1 4
7 1 3
17 2 9
11 1 4
3 0 1
15 1 6
15 2 12
8 1 4
5 1 2
8 1 3
10 1 4
16 1 8
12 1 7
3 0 1
8 1 6
12 1 5
19 1 4
19 1 3
23 2 13
7 1 4
20 2 13
2 0 1
22 2 14
21 2 16
3 0 1
14 1 6
2 0 1
17 2 9
7 1 3
19 2 10
16 2 11
15 1 3
9 1 6
21 2 15
14 1 8
4 0 1
5 1 2
12 1 4
5 1 2
7 1 5
20 1 8
17 1 7
9 1 3
10 1 5
4 0 1
2 0 1
13 1 8
14 1 8
6 1 2
2 0 1
4 1 2
13 1 7
6 1 4
3 1 2
4 1 2
3 0 1
9 1 5
15 2 9
22 2 11
5 1 3
25 2 13
11 1 6
7 1 2
23 2 11
2 0 1
5 0 1
8 1 5
25 2 10
16 2 9
16 1 5
41 2 11
12 1 6
8 1 3
4 0 1
15 2 9
3 0 1
15 1 8
16 2 10
6 1 3
18 2 12
4 0 1
2 0 1
16 2 10
14 1 8
9 1 5
4 1 3
17 2 9
4 1 2
28 2 12
25 2 14
17 2 9
22 2 11
7 1 3
3 0 1
15 1 7
4 1 2
12 1 7
8 1 4
21 2 16
6 1 2
5 1 4
27 2 13
16 1 6
13 1 8
14 1 7
25 2 12
9 1 3
5 1 2
27 2 16
27 2 9
11 0 1
9 1 4
22 2 10
24 2 15
2 0 1
16 2 10
29 3 17
3 0 1
14 1 6
14 2 10
20 3 18
3 0 1
15 1 6
38 2 10
28 2 13
12 1 6
20 2 13
8 1 5
19 1 8
6 1 4
11 1 4
7 1 2
17 2 9
21 2 14
13 1 3
26 3 18
23 2 12
4 1 2
7 1 4
27 2 10
23 2 12
2 0 1
4 0 1
20 2 16
6 1 2
17 1 6
8 1 4
14 1 6
17 2 13
4 1 2
4 1 2
5 1 2
9 1 2
13 1 5
22 2 14
38 2 14
16 1 4
3 0 1
24 1 7
37 2 14
24 2 13
23 2 14
30 2 11
14 1 7
23 2 10
24 2 11
9 1 3
10 1 5
4 1 2
26 2 13
8 0 1
3 0 1
9 1 4
25 2 13
18 2 9
37 2 15
25 2 15
8 1 4
26 2 15
29 2 14
23 1 6
32 3 17
10 1 4
18 2 9
29 2 11
20 1 6
37 3 20
19 1 7
8 1 2
8 1 4
26 3 19
24 2 15
6 1 3
24 3 17
37 2 13
3 0 1
22 2 11
11 1 5
17 1 8
30 3 17
24 1 8
8 1 2
3 0 1
22 2 12
30 3 17
23 2 9
37 1 7
10 1 5
19 2 9
7 1 3
21 2 13
10 1 5
27 2 15
10 2 9
5 1 3
19 2 12
9 1 3
4 0 1
2 0 1
11 1 7
22 2 14
16 2 10
20 2 12
14 1 8
20 1 8
24 3 17
16 2 13
11 1 6
5 1 2
15 1 8
15 2 10
32 2 12
12 1 8
18 2 12
10 1 5
19 2 11
22 2 13
7 1 2
16 2 9
16 1 7
8 1 5
2 0 1
18 2 11
6 1 3
2 0 1
3 1 2
24 2 11
21 2 10
11 1 6
21 2 13
23 3 19
3 0 1
14 1 6
3 0 1
13 1 6
8 1 3
20 2 11
20 2 13
9 1 5
8 1 6
6 1 2
10 1 5
23 2 12
13 2 9
19 2 12
4 1 2
13 1 8
8 1 3
6 1 3
7 1 2
28 2 12
18 2 12
18 1 8
20 2 9
8 1 3
9 1 4
22 2 12
9 1 3
15 1 7
12 1 2
5 1 2
4 1 2
6 1 3
4 0 1
19 2 11
12 1 6
11 1 8
4 1 2
19 2 9
28 2 9
7 1 3
17 1 7
13 1 6
32 2 14
3 0 1
24 2 12
7 1 4
13 1 8
9 1 6
35 2 14
8 1 2
5 1 3
11 1 4
27 2 16
6 1 3
17 2 10
5 1 3
3 0 1
3 0 1
7 1 4
4 1 2
8 1 4
10 1 6
5 1 3
10 1 5
12 1 6
10 1 3
10 1 7
29 3 19
16 2 11
5 1 4
14 1 8
25 2 11
8 1 4
20 1 6
16 2 10
13 1 7
19 1 8
3 0 1
15 1 8
31 2 10
17 2 9
22 1 8
5 0 1
18 2 13
26 1 4
2 0 1
5 1 4
27 2 12
24 2 15
5 0 1
17 1 5
24 2 10
26 2 9
17 2 12
16 2 9
14 2 9
8 1 4
5 1 3
11 1 5
20 1 6
14 1 5
27 2 14
9 0 1
9 1 4
12 1 6
10 1 5
9 1 5
6 1 2
22 2 12
20 2 10
13 2 10
